mmsi,name,lat,lon,speed,timestamp
372100111,MV Gulf Voyager,26.66087753015232,56.17079623086535,11.0,2026-07-22 00:00:00+00:00
470600666,MT Emirates Falcon,26.36513185540332,56.54028118317745,12.6,2026-07-22 00:00:00+00:00
256800888,MT Malta Horizon,26.379428121835343,56.53833328349682,11.3,2026-07-22 00:00:00+00:00
563500555,MV Singapore Breeze,26.727579794759794,56.06870551454275,14.0,2026-07-22 00:00:00+00:00
209900999,MV Cyprus Wind,26.729467078449186,56.06795527936844,11.0,2026-07-22 00:00:00+00:00
477400444,MT Hong Kong Trader,26.36615957938808,56.527771719405116,13.7,2026-07-22 00:00:00+00:00
372101112,MT Panama Crest,26.442219675658343,56.43391335937379,11.1,2026-07-22 00:00:00+00:00
537300333,MV Marshall Pride,26.681151515349306,56.13156931514849,11.6,2026-07-22 00:00:00+00:00
422111222,MV Al-Noor,26.55,56.3,9.5,2026-07-22 00:00:00+00:00
636200222,MT Liberty Star,26.392178940089455,56.506771057742874,11.4,2026-07-22 00:00:00+00:00
419700777,MV Konkan Express,26.722952574610854,56.07241661112888,12.7,2026-07-22 00:00:00+00:00
636200222,MT Liberty Star,26.412898260591767,56.46200379020082,11.7,2026-07-22 00:40:00+00:00
563500555,MV Singapore Breeze,26.70041773029008,56.103234913808016,13.3,2026-07-22 00:40:00+00:00
209900999,MV Cyprus Wind,26.700804255821723,56.110990607858426,10.9,2026-07-22 00:40:00+00:00
422111222,MV Al-Noor,26.560000000000002,56.315,9.5,2026-07-22 00:40:00+00:00
470600666,MT Emirates Falcon,26.377974870850707,56.51404598163794,12.4,2026-07-22 00:40:00+00:00
372100111,MV Gulf Voyager,26.62261437663897,56.20173260929923,11.6,2026-07-22 00:40:00+00:00
537300333,MV Marshall Pride,26.65393861908614,56.16250264249512,10.8,2026-07-22 00:40:00+00:00
477400444,MT Hong Kong Trader,26.398656849743393,56.49551779482662,14.1,2026-07-22 00:40:00+00:00
419700777,MV Konkan Express,26.698514777406775,56.11186463689006,12.3,2026-07-22 00:40:00+00:00
372101112,MT Panama Crest,26.45864627034472,56.39696629549073,10.6,2026-07-22 00:40:00+00:00
256800888,MT Malta Horizon,26.393403834839926,56.48663185043122,11.4,2026-07-22 00:40:00+00:00
636222333,MT Silent Reach,26.302347051027255,56.14942804682748,0.5,2026-07-22 01:00:00+00:00
563500555,MV Singapore Breeze,26.675096413012827,56.149779578120004,14.5,2026-07-22 01:20:00+00:00
422111222,MV Al-Noor,26.57,56.33,9.5,2026-07-22 01:20:00+00:00
