mmsi,name,lat,lon,speed,timestamp
563100111,MV Singapore Breeze,4.6125008925086615,99.55168178452243,12.0,2026-07-23 00:00:00+00:00
477600666,MT Hong Kong Trader,2.3231064174889227,102.52264065943368,11.2,2026-07-23 00:00:00+00:00
567800888,MT Andaman Star,1.7652824065931327,103.22689445060998,12.0,2026-07-23 00:00:00+00:00
372500555,MV Panama Crest,5.456695181293696,98.438702414749,13.7,2026-07-23 00:00:00+00:00
537900999,MV Marshall Pride,5.094765690785681,98.88788491417402,14.0,2026-07-23 00:00:00+00:00
209101112,MT Cyprus Horizon,2.295406314408133,102.5317938547846,14.0,2026-07-23 00:00:00+00:00
636400444,MT Liberty Star,2.24684827277559,102.6035871683475,14.5,2026-07-23 00:00:00+00:00
419202223,MV Konkan Express,5.535877208683606,98.18348817644632,12.2,2026-07-23 00:00:00+00:00
533300333,MV Straits Pioneer,4.891840753013652,99.14324458431197,14.3,2026-07-23 00:00:00+00:00
256303334,MT Malta Wind,1.3430050225960035,103.83410507752755,11.5,2026-07-23 00:00:00+00:00
525200222,MT Jakarta Trader,1.5684143256475072,103.52827964117215,13.4,2026-07-23 00:00:00+00:00
413700777,MV Shanghai Wind,4.338501435756614,99.77774849851747,14.3,2026-07-23 00:00:00+00:00
525111222,MV Sumatra Ghost,3.6,100.6,10.0,2026-07-23 00:00:00+00:00
525111222,MV Sumatra Ghost,3.65,100.64,10.0,2026-07-23 00:40:00+00:00
372500555,MV Panama Crest,5.226790843148938,98.71268564938543,13.2,2026-07-23 00:40:00+00:00
636400444,MT Liberty Star,2.4936873176107586,102.23022667920314,13.9,2026-07-23 00:40:00+00:00
209101112,MT Cyprus Horizon,2.5256472136423977,102.20424317110512,14.8,2026-07-23 00:40:00+00:00
413700777,MV Shanghai Wind,4.157580304438371,100.11559719380406,14.0,2026-07-23 00:40:00+00:00
419202223,MV Konkan Express,5.29912090621461,98.57622669105002,13.0,2026-07-23 00:40:00+00:00
533300333,MV Straits Pioneer,4.592215262962632,99.48363336510663,14.0,2026-07-23 00:40:00+00:00
563100111,MV Singapore Breeze,4.289921971428598,99.86930005512572,12.6,2026-07-23 00:40:00+00:00
567800888,MT Andaman Star,2.034182574015996,102.88197332086483,13.1,2026-07-23 00:40:00+00:00
256303334,MT Malta Wind,1.5455654353429598,103.44492518239758,11.5,2026-07-23 00:40:00+00:00
525200222,MT Jakarta Trader,1.8140815402034054,103.17348558739722,13.8,2026-07-23 00:40:00+00:00
477600666,MT Hong Kong Trader,2.568760226554327,102.15609713450708,11.5,2026-07-23 00:40:00+00:00
